table_name,column_name,data_type
people,first_name,TEXT
people,middle_name,TEXT
people,last_name,TEXT
people,job_title,TEXT
people,person_city,TEXT
people,person_state,TEXT
people,person_country,TEXT
people,email_pattern,TEXT
people,homepage_base_url,VARCHAR(255)
people,duration_in_current_job,TEXT
people,duration_in_current_company,TEXT
people,email,TEXT
Event,event_logo_url,TEXT
Event,event_name,TEXT
Event,event_start_date,DATE
Event,event_end_date,DATE
Event,event_venue,TEXT
Event,event_country,TEXT
Event,event_description,TEXT
Event,event_url,VARCHAR(255)
Company,company_logo_url,TEXT
Company,company_logo_text,TEXT
Company,company_name,TEXT
Company,relation_to_event,TEXT
Company,event_url,TEXT
Company,company_revenue,REAL
Company,n_employees,TEXT
Company,company_phone,TEXT
Company,company_founding_year,REAL
Company,company_address,TEXT
Company,company_industry,TEXT
Company,company_overview,TEXT
Company,homepage_url,TEXT
Company,linkedin_company_url,TEXT
Company,homepage_base_url,VARCHAR(255)
Company,company_logo_url_on_event_page,TEXT
Company,company_logo_match_flag,TEXT
